amount,hour_of_day,is_weekend,payment_method,is_international,merchant_risk_tier,merchant_age_days,is_fraud
264.82,20,0,WALLET,0,LOW,69,0
692.22,23,0,WALLET,0,MEDIUM,472,0
447.85,4,0,WALLET,0,MEDIUM,501,0
514.23,12,0,WALLET,0,LOW,615,0
17786.02,0,1,NETBANKING,0,LOW,288,0
618.88,6,1,NETBANKING,1,LOW,908,0
204.09,6,1,NETBANKING,0,LOW,38,0
492.91,8,1,CARD,0,MEDIUM,718,0
23.13,6,0,UPI,0,HIGH,593,0
781.86,23,0,UPI,0,LOW,185,0
345.14,7,0,CARD,0,LOW,716,0
666.15,2,1,NETBANKING,0,LOW,447,0
742.68,15,1,UPI,1,LOW,887,0
12411.98,5,1,WALLET,0,LOW,627,0
447.5,21,0,NETBANKING,0,LOW,184,0
136477.64,9,0,UPI,0,LOW,554,0
7207.88,22,1,WALLET,0,LOW,718,0
1824.49,6,1,WALLET,0,LOW,426,0
322.84,18,0,CARD,0,MEDIUM,104,0
13413.43,3,0,NETBANKING,0,MEDIUM,658,0
53367.37,14,1,UPI,0,LOW,591,0
365.63,16,1,CARD,0,LOW,797,0
195243.55,23,1,CARD,0,LOW,628,1
468.3,18,1,WALLET,1,MEDIUM,849,0
2950.19,15,1,CARD,0,LOW,921,0
377.27,23,0,CARD,0,MEDIUM,380,0
6487.72,1,1,UPI,0,LOW,70,0
936.49,9,0,CARD,0,MEDIUM,251,0
49023.17,21,1,NETBANKING,0,LOW,742,0
662.23,18,1,WALLET,0,MEDIUM,457,0
879.26,20,0,WALLET,0,LOW,404,0
886.56,15,1,WALLET,1,LOW,378,0
6135.48,19,1,WALLET,0,LOW,544,0
520.84,11,0,UPI,0,LOW,930,0
679.9,22,0,NETBANKING,0,HIGH,439,0
409.28,10,1,NETBANKING,0,LOW,836,0
460.79,19,1,CARD,0,HIGH,679,0
488.87,5,0,CARD,0,HIGH,708,0
339.15,3,0,WALLET,0,LOW,763,0
778.86,12,0,CARD,1,HIGH,334,0
8136.98,5,0,NETBANKING,0,MEDIUM,657,0
18055.16,7,1,NETBANKING,0,MEDIUM,300,0
642.68,6,1,NETBANKING,0,LOW,68,0
115.67,14,0,CARD,0,LOW,109,0
113278.38,21,1,UPI,0,HIGH,797,1
6372.7,11,0,CARD,0,MEDIUM,534,0
611.39,20,0,UPI,0,MEDIUM,155,0
10897.3,0,1,CARD,0,LOW,945,0
641.21,20,1,CARD,0,MEDIUM,27,0
628.37,10,0,CARD,0,HIGH,425,0
7077.9,2,1,NETBANKING,0,LOW,340,0
835.82,12,0,WALLET,0,MEDIUM,214,0
148.79,15,1,WALLET,0,HIGH,886,0
681.05,8,0,UPI,0,MEDIUM,289,0
383.99,20,1,WALLET,0,LOW,399,0
15852.71,0,0,NETBANKING,0,LOW,377,0
207.49,0,0,NETBANKING,0,LOW,914,0
61.22,3,0,UPI,0,LOW,522,0
895.29,11,0,WALLET,0,MEDIUM,374,0
16344.98,23,0,NETBANKING,0,LOW,311,0
284.31,8,0,WALLET,0,MEDIUM,735,0
8315.87,13,1,NETBANKING,0,HIGH,215,0
108.56,10,0,NETBANKING,0,MEDIUM,302,0
13789.04,23,1,WALLET,0,MEDIUM,637,0
639.88,18,1,UPI,0,LOW,686,0
617.99,2,0,CARD,0,MEDIUM,475,0
972.29,17,1,NETBANKING,0,LOW,952,0
6102.41,19,1,NETBANKING,0,LOW,304,0
123064.77,23,0,UPI,0,LOW,651,0
181.46,17,0,NETBANKING,0,LOW,833,0
414.42,4,0,NETBANKING,0,HIGH,452,0
454.19,20,1,UPI,0,LOW,821,0
194.65,0,1,NETBANKING,0,LOW,26,0
810.2,7,1,UPI,0,LOW,499,0
